iter	Passed	Remaining
0	16	3354
1	34	3404
2	50	3285
3	65	3208
4	83	3243
5	107	3468
6	132	3656
7	166	3988
8	185	3941
9	199	3784
10	213	3676
11	223	3498
12	232	3347
13	246	3274
14	272	3360
15	288	3319
16	314	3389
17	332	3359
18	349	3328
19	374	3367
20	386	3295
21	403	3261
22	418	3218
23	441	3240
24	457	3202
25	464	3107
26	476	3055
27	494	3035
28	507	2994
29	517	2933
30	526	2871
31	542	2850
32	556	2817
33	572	2796
34	585	2758
35	599	2731
36	613	2703
37	622	2652
38	636	2628
39	647	2589
40	654	2539
41	669	2517
42	686	2507
43	700	2484
44	712	2453
45	729	2441
46	744	2424
47	754	2390
48	770	2373
49	784	2354
50	797	2329
51	814	2317
52	818	2270
53	833	2253
54	844	2225
55	853	2193
56	879	2206
57	884	2165
58	892	2133
59	910	2125
60	917	2089
61	931	2072
62	945	2056
63	954	2028
64	969	2014
65	982	1994
66	1005	1995
67	1020	1980
68	1038	1971
69	1061	1971
70	1081	1964
71	1103	1961
72	1128	1964
73	1150	1958
74	1195	1992
75	1266	2066
76	1334	2131
77	1352	2115
78	1372	2102
79	1391	2087
80	1444	2122
81	1455	2094
82	1470	2072
83	1476	2039
84	1486	2010
85	1498	1986
86	1520	1975
87	1533	1951
88	1555	1939
89	1585	1937
90	1601	1918
91	1638	1923
92	1687	1940
93	1728	1949
94	1771	1957
95	1821	1973
96	1836	1950
97	1851	1927
98	1866	1904
99	1882	1882
100	1893	1855
101	1903	1828
102	1918	1806
103	1928	1780
104	1948	1763
105	1958	1736
106	1968	1711
107	1984	1690
108	1993	1664
109	2016	1649
110	2038	1634
111	2061	1619
112	2067	1592
113	2082	1571
114	2099	1551
115	2115	1532
116	2130	1511
117	2147	1492
118	2158	1468
119	2173	1449
120	2182	1425
121	2197	1405
122	2214	1386
123	2229	1366
124	2247	1348
125	2265	1330
126	2280	1310
127	2302	1294
128	2324	1279
129	2341	1261
130	2347	1236
131	2372	1222
132	2378	1198
133	2395	1179
134	2403	1157
135	2420	1139
136	2438	1121
137	2444	1098
138	2453	1076
139	2467	1057
140	2478	1037
141	2493	1018
142	2508	999
143	2526	982
144	2543	964
145	2557	945
146	2567	925
147	2582	907
148	2600	890
149	2610	870
150	2625	851
151	2641	834
152	2653	815
153	2665	796
154	2674	776
155	2687	758
156	2705	740
157	2715	721
158	2729	703
159	2738	684
160	2754	667
161	2763	648
162	2780	631
163	2791	612
164	2805	595
165	2820	577
166	2836	560
167	2842	541
168	2850	522
169	2864	505
170	2885	489
171	2895	471
172	2904	453
173	2920	436
174	2935	419
175	2947	401
176	2954	383
177	2967	366
178	2984	350
179	2993	332
180	3003	315
181	3015	298
182	3030	281
183	3044	264
184	3052	247
185	3067	230
186	3080	214
187	3100	197
188	3115	181
189	3126	164
190	3142	148
191	3152	131
192	3181	115
193	3199	98
194	3217	82
195	3233	65
196	3249	49
197	3259	32
198	3283	16
199	3301	0
